symbol,name,exchange,assetType,ipoDate,delistingDate,status
AI,Arlington Asset Investment Corp,NYSE,Stock,12/23/1997,null,Active
AI-P-B,Arlington Asset Investment Corp 700 Series B Cumulative Perpetual Redeemable Preferred Stock,NYSE,Stock,5/16/2017,null,Active
AI-P-C,Arlington Asset Investment Corp 8250 Series C FixedtoFloating Rate Cumulative Redeemable Preferred Stock,NYSE,Stock,3/6/2019,null,Active
AIC,Arlington Asset Investment Corp 6750 Sr Nt 03152025,NYSE,Stock,3/20/2015,null,Active
AIG,American International Group Inc,NYSE,Stock,9/7/1984,null,Active
AIG-P-A,American International Group Inc Depositary Shares Series A,NYSE,Stock,3/8/2019,null,Active
AIG-WS,American International Group Inc - Warrants (19/01/2021),NYSE,Stock,1/2/1973,null,Active
AIH,Aesthetic Medical International Holdings Group Ltd,NASDAQ,Stock,10/25/2019,null,Active
AIHS,Senmiao Technology Ltd,NASDAQ,Stock,3/16/2018,null,Active
AIKI,AIkido Pharma Inc,NASDAQ,Stock,9/7/1984,null,Active
AIM,AIM ImmunoTech Inc,NYSE MKT,Stock,7/12/1996,null,Active
AIMC,Altra Industrial Motion Corp,NASDAQ,Stock,12/15/2006,null,Active
AIMT,Aimmune Therapeutics Inc,NASDAQ,Stock,8/6/2015,null,Active
AIN,Albany International Corp,NYSE,Stock,9/30/1987,null,Active
AINC,Ashford Inc,NYSE,Stock,11/13/2014,null,Active
AINV,Apollo Investment Corp,NASDAQ,Stock,5/5/2004,null,Active
AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund Com,NYSE,Stock,10/29/2019,null,Active
AIR,AAR Corp,NYSE,Stock,7/19/1984,null,Active
AIRG,Airgain Inc,NASDAQ,Stock,8/12/2016,null,Active
AIRI,Air Industries Group,NYSE,Stock,10/5/2000,null,Active
AIRT,Air T Inc,NASDAQ,Stock,4/24/1984,null,Active
AIRTP,Air T Inc Air T Funding Trust Preferred Securities,NASDAQ,Stock,6/11/2019,null,Active
AIRTW,Air T Inc - Warrants (15/01/2021),NASDAQ,Stock,6/12/2019,null,Active
AIT,Applied Industrial Technologies Inc,NYSE,Stock,9/7/1984,null,Active
AIV,Apartment Investment and Management Company,NYSE,Stock,7/22/1994,null,Active
AIW,Arlington Asset Investment Corp,NYSE,Stock,5/6/2013,null,Active
AIZ,Assurant Inc,NYSE,Stock,2/5/2004,null,Active
AIZP,Assurant Inc 650 Series D Mandatory Convertible Preferred Stock 100 par value,NYSE,Stock,3/8/2018,null,Active
AJG,Arthur J Gallagher Company,NYSE,Stock,9/7/1984,null,Active
AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,Stock,2/2/1981,null,Active
AJX,Great Ajax Corp,NYSE,Stock,2/13/2015,null,Active
AJXA,Great Ajax Corp 725 Convertible Senior Notes due 2024,NYSE,Stock,4/28/2017,null,Active
